TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;98045.81;;;SDP;DI1 X PRE
FI;07.046.169/0001-21;ASCESE FUNDO DE INVESTIMENTOS EM AÇÕES;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3246496.43;;;Outros;999 X 999
FI;07.046.169/0001-21;ASCESE FUNDO DE INVESTIMENTOS EM AÇÕES;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1863636.74;;;Outros;999 X 999
FI;07.364.774/0001-40;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO VIENA;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;442910.97;;;SDL;DI1 X IAP
FI;07.664.177/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATEGICO MULTIMERCADO LONGO PRAZO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;442605.94;;;SDP;DI1 X PRE
FI;08.070.830/0001-05;FUNDO DE INVESTIMENTO CAIXA FUNPRESP MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;184419.14;;;SDP;DI1 X PRE
FI;08.757.704/0001-15;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA RENO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5975477.23;;;SDL;DI1 X IAP
FI;08.757.704/0001-15;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA RENO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;54801879.75;;;SDL;DI1 X IAP
FI;08.771.962/0001-56;OITI FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3848165844.94;;;SCP;DOL X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;9034061.43;;;SDL;DI1 X IAP
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;21032491.38;;;SDP;DI1 X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;60349454.85;;;SDL;DI1 X IAP
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;46532959.64;;;SDP;DI1 X PRE
FI;09.241.756/0001-05;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO VOLGA;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;42393265.96;;;SDL;DI1 X IAP
FI;09.241.756/0001-05;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO VOLGA;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;21231863.53;;;SDL;DI1 X IAP
FI;09.522.470/0001-90;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO PREÇOS;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8572895.41;;;SDL;DI1 X IAP
FI;09.522.470/0001-90;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO PREÇOS;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8445416.63;;;SDL;DI1 X IAP
FI;09.523.207/0001-15;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO TEJO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1501302.94;;;SDL;DI1 X IAP
FI;09.523.207/0001-15;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO TEJO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;4702601.65;;;SDL;DI1 X IAP
FI;09.720.523/0001-87;BB PREV MULTI II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;12516659.48;;;SFD;IPC X DI1
FI;09.720.523/0001-87;BB PREV MULTI II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6267071.65;;;SDM;DI1 X IGM
FI;10.435.467/0001-18;SHARP MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;492224.94;;;Outros;999 X 999
FI;10.435.467/0001-18;SHARP MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;201955.39;;;Outros;999 X 999
FI;11.077.957/0001-52;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO ZAMARADI - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;6138.54;;;Outros;999 X 999
FI;11.077.957/0001-52;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO ZAMARADI - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;18167.31;;;Outros;999 X 999
FI;11.286.399/0001-35;SEIVAL FGS MASTER AGRESSIVO FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;147521620.47;;;SCT;DOL X TR
FI;11.286.399/0001-35;SEIVAL FGS MASTER AGRESSIVO FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;177061175.64;;;SCP;DOL X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1108191230.26;;;SDP;DI1 X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;455945086.63;;;SDL;DI1 X IAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;136912703.32;;;SCP;DOL X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1140164663.43;;;SDC;DI1 X DOL
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;554264409.00;;;SDP;DI1 X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;534587226.09;;;SDL;DI1 X IAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;27987979.91;;;SCP;DOL X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;200554194.25;;;SDC;DI1 X DOL
FI;12.083.748/0001-84;KAPITALO MASTER II FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1078506.20;;;SCP;DOL X PRE
FI;13.294.689/0001-56;VINCI PORTIFÓLIO 1 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2092.68;;;Outros;999 X 999
FI;13.294.689/0001-56;VINCI PORTIFÓLIO 1 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;14606.94;;;Outros;999 X 999
