TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FI;18.265.920/0001-05;PREGUINHO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;15397142.45
FI;18.265.951/0001-58;VERYON FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;7014990.96
FI;18.265.965/0001-71;D&D FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE;2021-12-31;7942041.96
FI;18.268.644/0001-20;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RIBEIRO - INVESTIMENTO NO EXTERIOR;2021-12-31;22767361.14
FI;18.270.776/0001-97;BB PREVIDÊNCIA INFLAÇÃO FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;725073282.79
FI;18.270.783/0001-99;BB AÇÕES ALOCAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;437937214.41
FI;18.270.870/0001-46;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO APPOLO - INVESTIMENTO NO EXTERIOR;2021-12-31;33582227.42
FI;18.272.304/0001-73;BOSCH BRASIL ALM II FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;233648992.41
FI;18.281.442/0001-19;FUNDO DE INVESTIMENTO MULTIMERCADO SANTA CRISTINA INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;284920372.17
FI;18.289.916/0001-79;KOI EDMOND DE ROTHSCHILD EUROPE SYNERGY INVESTIMENTO NO EXTERIOR FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;37916301.33
FI;18.289.985/0001-82;TB GLOBAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;2668453.02
FI;18.289.993/0001-29;SPX NIMITZ ONE FEEDER FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;8320579.69
FI;18.295.384/0001-82;3G RADAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES 60;2021-12-31;80076200.99
FI;18.298.120/0001-82;JMG FUNDO DE INVESTIMENTO DE AÇÕES - INVESTIMENTO NO EXTERIOR;2021-12-31;152676811.21
FI;18.298.237/0001-66;FIC DE FI MULTIMERCADO CRÉDITO PRIVADO SOLAIA - INVESTIMENTO NO EXTERIOR;2021-12-31;10737493.94
FI;18.298.411/0001-70;TI KAPITALO ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;286537891.62
FI;18.298.420/0001-61;VIC BRASIL CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2021-12-31;177716189.09
FI;18.298.864/0001-05;KOI EDMOND DE ROTHSCHILD EUROPE SYNERGY INVEST NO EXTERIOR FI EM COTAS DE FI EM AÇÕES;2021-12-31;38095629.93
FI;18.299.160/0001-49;RGSL FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;7409830.60
FI;18.300.570/0001-62;INVESTFORT PENEDO FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR;2021-12-31;210039547.85
FI;18.302.338/0001-63;ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;155264017.32
FI;18.302.852/0001-07;JACARÉ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO IE;2021-12-31;45544640.90
FI;18.302.872/0001-70;CSHG PREVIDENCIÁRIO DIRECIONAL ZURICH IMA-B RENDA FIXA FIC DE FUNDO DE INVESTIMENTO;2021-12-31;52005085.62
FI;18.302.904/0001-37;CSHG PREVIDENCIÁRIO MASTER DIRECIONAL IMA-B RENDA FIXA FUNDO DE INVESTIMENTO;2021-12-31;64814979.96
FI;18.302.940/0001-09;CSHG ZURICH ATIVO FIC DE FUNDOS DE INVESTIMENTO MULTIMERCADO PREVIDENCIÁRIO - CRÉDITO PRIVADO;2021-12-31;42821246.57
FI;18.307.549/0001-99;BB CPSEC FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;9610981.78
FI;18.307.768/0001-78;NKN FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;55873442.66
FI;18.308.074/0001-55;BLUE CAPITAL FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;0.00
FI;18.316.558/0001-46;PLURAL CRÉDITO CORPORATIVO II FIC DE FUNDOS DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO;2021-12-31;123135841.83
FI;18.316.573/0001-94;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO KAPALUA - INVESTIMENTO NO EXTERIOR;2021-12-31;24832974.04
FI;18.316.633/0001-79;WHOOP FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;106122130.61
FI;18.316.637/0001-57;PENÍNSULA PE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;108096216.62
FI;18.316.792/0001-73;FMHE FUNDO DE INVESTIMENTO DE ACOES INVESTIMENTO NO EXTERIOR;2021-12-31;49224580.95
FI;18.323.970/0001-93;M SQUARE GLOBAL EQUITY MANAGERS INSTITUCIONAL FIC DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR;2021-12-31;101020546.33
FI;18.324.946/0001-79;BB TOP AÇÕES TOTAL RETURN FUNDO DE INVESTIMENTO;2021-12-31;1540877731.62
FI;18.324.976/0001-85;3G RADAR MASTER FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;895225923.10
FI;18.330.832/0001-31;FOUNDRY FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO LONGO PRAZO INVESTIMENTO NO EXTERIOR;2021-12-31;233479246.47
FI;18.333.418/0001-86;QUATTRO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;28220819.15
FI;18.341.171/0001-40;3G RADAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES 1080;2021-12-31;49906154.82
FI;18.347.243/0001-66;CELOS CLARITAS VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;69299261.35
FI;18.347.309/0001-18;QUATÁ MULTISETORIAL FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;100031617.72
FI;18.347.361/0001-74;VPA FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;38224839.32
FI;18.351.057/0001-09;CRETA FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;359520284.04
FI;18.362.209/0001-60;GR ULTIMATE FUNDO DE INVESTIMENTO EM COTAS DE  FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;33030371.49
FI;18.364.675/0001-85;TREK MIRINGUAVA FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;14443078.90
FI;18.366.002/0001-64;AUSTRO MULTIPAR FUNDO DE INVESTIMENTO EM COTA DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;11874161.35
FI;18.368.511/0001-26;IBIZA FUNDO DE INVESTIMENTO MULTIMERCADO CRED PRIV INVESTIMENTO NO EXTERIOR;2021-12-31;18363197.27
FI;18.368.524/0001-03;DINO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;112781568.29
FI;18.368.537/0001-74;VIC S LIQUIDEZ FIC FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;62336641.52
FI;18.369.649/0001-40;COPO DE LEITE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;74941083.80
FI;18.369.673/0001-89;ALENER II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;36603664.21
FI;18.369.682/0001-70;IBIUNA LONG SHORT BP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;60298633.93
FI;18.369.750/0001-09;KOLOWI FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;41511204.83
FI;18.386.802/0001-47;BNP PARIBAS CAPITAL PROTEGIDO IX FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;11363186.97
FI;18.386.826/0001-04;PEDRA BRANCA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2021-12-31;13123173.01
FI;18.390.994/0001-65;PALUDI FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;26912097.45
FI;18.391.138/0001-24;IBIUNA LONG SHORT STLS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;558452502.48
FI;18.391.142/0001-92;UNICRED INFLAÇÃO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO;2021-12-31;458907949.63
FI;18.391.155/0001-61;GÁVEA MACRO DÓLAR MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;472789660.49
FI;18.391.163/0001-08;APOENA MACRO DÓLAR FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO;2021-12-31;431464555.59
FI;18.391.171/0001-54;GÁVEA MACRO DÓLAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;41317069.45
FI;18.391.324/0001-63;ÁQUILA 5 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2021-12-31;86208517.22
FI;18.416.553/0001-95;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI III;2021-12-31;1380034428.61
FI;18.416.618/0001-00;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI II;2021-12-31;1438529212.12
FI;18.418.812/0001-17;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI IV;2021-12-31;1379985091.52
FI;18.418.825/0001-96;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI VI;2021-12-31;1379986487.34
FI;18.418.851/0001-14;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI V;2021-12-31;1379972444.91
FI;18.418.874/0001-29;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI VIII;2021-12-31;1380019748.76
FI;18.418.894/0001-08;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI X;2021-12-31;1379966585.73
FI;18.418.915/0001-87;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI IX;2021-12-31;1379991304.49
FI;18.422.211/0001-88;VERDEAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO;2021-12-31;13646028.55
FI;18.422.231/0001-59;VERDE AM EHB FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;27406064.54
FI;18.422.241/0001-94;CSHG PURANGAW FIC DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;24769032.35
FI;18.422.250/0001-85;MAURITIUS FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;36037577.35
FI;18.422.264/0001-07;ABSOLUTE HEDGE MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;451226752.47
FI;18.422.272/0001-45;ABSOLUTE VERTEX CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;1535455839.36
FI;18.428.556/0001-49;BB GAIA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA;2021-12-31;22289866.69
FI;18.428.603/0001-54;BNY MELLON ARX LIQUIDEZ FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI VII;2021-12-31;1379959323.50
FI;18.428.655/0001-20;BB TOP RENDA FIXA CREDITO PRIVADO ALTO RENDIMENTO LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;446628435.79
FI;18.428.661/0001-88;BB RENDA FIXA LP CREDITO PRIVADO AR PRIVATE FUNDO DE INVESTIM EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;115316680.51
FI;18.447.898/0001-06;CAPITÂNIA REIT MASTER CRÉDITO PRIVADO FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;630233923.74
FI;18.448.137/0001-79;GERAL DIVIDENDO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;3930716.70
FI;18.448.197/0001-91;SUMMIT ICATU SEG FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;34050083.84
FI;18.454.198/0001-49;BB TERA MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CRÉDITO PRIVADO;2021-12-31;21982480.58
FI;18.454.203/0001-13;BB LMW MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CRÉDITO PRIVADO;2021-12-31;29140844.55
FI;18.454.209/0001-90;BB SONDRIO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2021-12-31;68374980.10
FI;18.454.944/0001-02;OCEANA VALOR MASTER FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;710739312.24
FI;18.463.124/0001-79;ICATU EXCLUSIVE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;12685301.09
FI;18.466.245/0001-74;BANRISUL FOCO IRF-M 1 FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;705439820.81
FI;18.471.807/0001-78;OPPORTUNITY LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;282065557.04
FI;18.480.775/0001-77;STARNICE FUNDO DE INV EM COTAS DE FDOS DE INV MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;19677328.08
FI;18.480.781/0001-24;SPECTRA PRIVATE EQUITY II FEEDER FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;19791222.01
FI;18.488.532/0001-85;PACIFICO RV FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2021-12-31;85619275.38
FI;18.488.610/0001-41;RGB FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;20143140.09
FI;18.489.905/0001-32;RAPPORT INVESTIMENTO NO EXTERIOR FIC DE FI MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;518329849.56
FI;18.489.908/0001-76;GROWLER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;2974557051.35
FI;18.489.909/0001-10;SPXR FIC DE FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;518894154.34
FI;18.489.912/0001-34;PROWLER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2021-12-31;639121168.18
FI;18.498.848/0001-58;MACAÚVA FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;31130555.01
FI;18.507.745/0001-07;SPX NIMITZ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;82954884.59
FI;18.507.747/0001-04;BELUBIA FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;18278991.79
FI;18.516.679/0001-31;FOX VALUE LONG BIASED FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL 1;2021-12-31;382141762.42
FI;18.520.884/0001-70;FHV - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;161653393.30
FI;18.525.591/0001-86;BRASILPREV RT BRANRE FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;30150752.48
FI;18.525.673/0001-20;CSHG JIVE ETR FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;8103840.97
FI;18.525.753/0001-86;OCCAM LONG BIASED FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;214139257.01
FI;18.525.868/0001-70;OCCAM LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;169787856.69
FI;18.534.967/0001-19;AZ QUEST ICATU MULTI PREV FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;157305329.73
FI;18.537.249/0001-04;SUL AMÉRICA PARANÁ FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;4098088.17
FI;18.537.348/0001-88;ELUPE FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;69576796.66
FI;18.537.473/0001-98;AREZZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE;2021-12-31;8868449.22
FI;18.538.542/0001-88;BNP PARIBAS WQUATTRO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2021-12-31;158896088.66
FI;18.543.576/0001-60;MXP FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2021-12-31;25438715.72
FI;18.543.654/0001-27;BORDEAUX FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;38679785.50
FI;18.543.673/0001-53;OPPORTUNITY LONG BIASED MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;613917454.32
FI;18.543.768/0001-77;ICATU SEG FIC DE FI EMPRESARIAL COMPOSTO 49 MULTIMERCADO;2021-12-31;97120892.67
FI;18.558.694/0001-42;CTM ESTRATEGIA FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;92251623.09
FI;18.559.913/0001-08;BNP PARIBAS VERNEUIL FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;101330910.43
FI;18.570.676/0001-86;FM02 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;2352960.16
FI;18.576.635/0001-05;BRASILPREV RT ZBPREV FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;333975975.59
FI;18.577.307/0001-15;ICATU SEG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EMPRESARIAL RENDA FIXA;2021-12-31;328256632.61
FI;18.581.554/0001-95;LEXUS 43 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;37343388.29
FI;18.581.619/0001-00;FCOPEL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2021-12-31;796084356.04
FI;18.585.301/0001-90;ATMP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2021-12-31;486487803.64
FI;18.597.970/0001-81;CRONOS FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;651059677.07
FI;18.598.042/0001-31;FUNDO DE INVESTIMENTO CAIXA BRASIL 2030 I TÍTULOS PÚBLICOS RENDA FIXA;2021-12-31;250850505.88
FI;18.598.088/0001-50;FUNDO DE INVESTIMENTO CAIXA BRASIL 2024 II TÍTULOS PÚBLICOS RENDA FIXA;2021-12-31;221577044.25
FI;18.598.117/0001-84;FUNDO DE INVESTIMENTO CAIXA BRASIL 2022 I TÍTULOS PÚBLICOS RENDA FIXA;2021-12-31;95550883.96
FI;18.598.288/0001-03;FUNDO DE INVESTIMENTO CAIXA BRASIL 2024 I TÍTULOS PÚBLICOS RENDA FIXA;2021-12-31;460231370.14
FI;18.598.925/0001-41;SANTANDER FIC FI TÍTULOS PÚBLICOS RF REFERENCIADO DI - SBJ;2021-12-31;51925717.42
FI;18.599.004/0001-01;SANTANDER PREV RF CRÉDITO PRIVADO CRESCIMENTO FI;2021-12-31;1970282672.92
FI;18.599.020/0001-96;ZACK FI MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;36750709.58
FI;18.599.145/0001-16;SANTANDER FI CRM RENDA FIXA;2021-12-31;2547553.57
FI;18.599.388/0001-54;SANTANDER PREV PB RENDA FIXA CRÉDITO PRIVADO FIC FI;2021-12-31;1045554624.95
FI;18.599.470/0001-89;FIC FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR PB BOUGMAN;2021-12-31;12597137.67
FI;18.599.665/0001-29;RESULTAT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;29822761.77
FI;18.599.673/0001-75;SANTANDER FI IMA-B 5 TOP RENDA FIXA LONGO PRAZO;2021-12-31;860870698.51
FI;18.599.783/0001-37;SANTANDER ALOCAÇÃO LONG BIASED AÇÕES FIC FI;2021-12-31;169745454.69
FI;18.599.796/0001-06;SANTANDER PB RUMAOZINHO MULT CRÉD PRIV FIC FI;2021-12-31;28116629.23
FI;18.599.831/0001-97;SANTANDER PB QUEER MULTIMERCADO CREDITO PRIVADO FIC FI;2021-12-31;12777098.59
FI;18.599.971/0001-65;VOKIN MONTBLANC PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;17291807.05
FI;18.602.055/0001-37;SPECTRA LATIN AMERICA PRIVATE EQUITY II FUNDO DE INVESTIMENTO MULTIMERCADO-INVESTIMENTO NO EXTERIOR;2021-12-31;143697505.81
FI;18.602.061/0001-94;BTG PACTUAL ACCESS KKR NORTH AMERICA XI FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR;2021-12-31;23100208.09
FI;18.602.063/0001-83;PACIFICO RV MASTER FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;85786618.63
FI;18.602.064/0001-28;FL PREMIUM INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;5216899.82
FI;18.602.357/0001-05;MAPFRE MASTER ESTRATÉGIA DI FUNDO DE INVESTIMENTO RENDA FIXA PREV;2021-12-31;142588562.45
FI;18.602.384/0001-88;APOENA RE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2021-12-31;5624511.49
FI;18.602.405/0001-65;APEX AÇÕES 30 BP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2021-12-31;71111418.00
FI;18.602.419/0001-89;MAPFRE PREVISION DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA PREV;2021-12-31;126269095.05
FI;18.602.588/0001-19;VINCI OITO FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;7539131.76
FI;18.602.600/0001-95;FUNDO DE INVESTIMENTO MULTIMERCADO PANGEA - INVESTIMENTO NO EXTERIOR;2021-12-31;2439219593.43
FI;18.602.614/0001-09;SÃO DOMINGOS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;56063210.79
FI;18.602.626/0001-33;CABO FRIO FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;26770154.46
FI;18.602.683/0001-12;FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO BRASIL NORDESTE DESENVOLVIMENTO IMOBILIÁRIO;2021-12-31;33343686.11
FI;18.603.991/0001-62;SANTANDER ALOCAÇÃO LONG BIASED AÇÕES FUNDO DE INVESTIMENTO;2021-12-31;422044283.78
FI;18.611.532/0001-20;OCEANA LONG BIASED 60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;3339590.81
FI;18.611.538/0001-06;ALRD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;15148817.96
FI;18.611.600/0001-51;RPS TOTAL RETURN MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;1104093867.39
FI;18.611.701/0001-22;CANAVIAL FUNDO DE INV EM COTAS DE FUNDOS DE INV MULTIMERCADO CRÉDITO PRIVADO INV NO EXTERIOR;2021-12-31;19334195.19
FI;18.611.818/0001-06;PARNASSÁ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;5015974.20
FI;18.623.691/0001-45;UYUNI FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;15706241.19
FI;18.623.722/0001-68;CA INDOSUEZ DEBÊNTURES INCENTIVADAS CRÉDITO PRIVADO FIC FI MULTIMERCADO;2021-12-31;944286753.58
FI;18.623.754/0001-63;CA INDOSUEZ AVANT-GARDE - FEEDER 01 - FIC FI MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;9446724.94
FI;18.623.770/0001-56;RAYON FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;11528297.71
FI;18.623.794/0001-05;SWS FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;15464408.35
FI;18.623.821/0001-40;ZR11 FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;8616868.12
FI;18.623.867/0001-69;GABI FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;26204024.57
FI;18.628.896/0001-13;OURO PRETO AÇÕES FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;739020.33
